N_Items,Capacity_W,K_Best,Instance_ID,Time_Baseline_sec,Time_Proposed_sec
250,100,100,1,0.740503,0.6580096
250,100,250,1,1.2231797,1.074072
250,100,500,1,1.7105218,1.624397
250,100,1000,1,5.0223732,4.6968199
250,250,100,1,1.7323763,1.7068365
250,250,250,1,3.4365337,3.3668882
250,250,500,1,8.5108494,8.0990985
250,250,1000,1,16.5659445,15.3866112
250,500,100,1,3.7063491,3.8605714
250,500,250,1,9.1889473,8.6788348
250,500,500,1,16.6626891,15.6410311
250,500,1000,1,32.9120802,30.914996
250,1000,100,1,9.1532202,8.554511
250,1000,250,1,18.6396235,21.5526456
250,1000,500,1,46.4996575,38.7036794
250,1000,1000,1,247.0895103,447.2424784
