N_Items,Capacity_W,K_Best,Instance_ID,Time_Baseline_sec,Time_Proposed_sec
100,100,100,1,0.3670582,0.2791954
100,100,100,2,0.2657934,0.2358483
100,100,100,3,0.2327617,0.2221923
100,100,250,1,0.3646978,0.3438249
100,100,250,2,0.4004772,0.3084623
100,100,250,3,0.3503584,0.3059269
100,100,500,1,0.7034789,0.6080166
100,100,500,2,0.7659895,0.513338
100,100,500,3,0.6473422,0.552207
100,100,1000,1,1.3914542,1.0874047
100,100,1000,2,0.9569405,0.8991439
100,100,1000,3,0.9751419,0.8600672
100,250,100,1,0.6915808,0.6909987
100,250,100,2,0.6664478,0.6415319
100,250,100,3,0.6502824,0.6233754
100,250,250,1,1.3191146,1.1839901
100,250,250,2,1.2903219,1.1600623
100,250,250,3,1.3982575,1.1749733
100,250,500,1,2.4047273,2.0114771
100,250,500,2,2.3289035,2.1214986
100,250,500,3,2.4394671,2.0957165
100,250,1000,1,4.7105386,4.0715958
100,250,1000,2,4.7497197,4.1335192
100,250,1000,3,4.5368521,3.9760861
100,500,100,1,1.5489742,1.4606649
100,500,100,2,1.4365273,1.2749189
100,500,100,3,1.4714775,1.3355742
100,500,250,1,2.8709535,2.4630928
100,500,250,2,2.7629569,2.3689217
100,500,250,3,2.8738743,2.4800779
100,500,500,1,4.7654893,4.0361861
100,500,500,2,4.8607516,4.1659695
100,500,500,3,4.8206408,4.207019
100,500,1000,1,10.3952066,8.8555591
100,500,1000,2,9.4544945,8.0804196
100,500,1000,3,9.9882507,8.6315243
100,1000,100,1,3.1453339,2.595069
100,1000,100,2,3.0806573,2.3801236
100,1000,100,3,3.0884238,2.7635936
100,1000,250,1,5.1756408,3.7731394
100,1000,250,2,5.0868311,3.7982683
100,1000,250,3,5.3921633,4.1197243
100,1000,500,1,9.3748492,7.1627785
100,1000,500,2,9.5856531,10.4022996
100,1000,500,3,14.9685051,10.4000317
100,1000,1000,1,29.6583961,22.0247893
100,1000,1000,2,27.4330293,21.70582
100,1000,1000,3,27.6059615,21.0142221
